,location,total_sqft,bath,price,bhk
1574,Bommanahalli,1355.0,2.0,73.17,2
1575,Bommanahalli,1160.0,2.0,53.0,2
1576,Bommanahalli,2875.0,7.0,85.0,7
1577,Bommanahalli,1050.0,2.0,54.0,2
1578,Bommasandra,1260.0,3.0,49.36,3
1579,Bommasandra,1060.0,2.0,26.5,2
1580,Bommasandra,1126.0,2.0,28.15,2
1581,Bommasandra,1200.0,3.0,46.0,3
1582,Bommasandra,1035.0,2.0,41.0,2
1583,Bommasandra,1035.0,2.0,41.73,2
1584,Bommasandra,1034.0,2.0,40.0,2
1585,Bommasandra,877.0,2.0,30.0,2
1586,Bommasandra,1447.0,3.0,80.0,3
1587,Bommasandra,920.0,2.0,37.46,2
1588,Bommasandra,1035.0,2.0,41.43,2
1589,Bommasandra,902.0,2.0,49.0,2
1590,Bommasandra,1295.0,2.0,50.28,3
1592,Bommasandra,1015.0,2.0,40.0,2
1593,Bommasandra,1000.0,2.0,35.0,2
1594,Bommasandra,955.0,2.0,35.28,2
1595,Bommasandra,1005.0,2.0,39.77,2
1596,Bommasandra,1014.0,2.0,35.0,2
1597,Bommasandra,1020.0,2.0,40.89,2
1598,Bommasandra,920.0,2.0,37.2,2
1599,Bommasandra,800.0,1.0,32.0,2
1600,Bommasandra,1280.0,3.0,50.0,3
1601,Bommasandra,1942.0,3.0,90.0,3
1602,Bommasandra,1127.0,2.0,45.0,2
1604,Bommasandra,877.0,2.0,29.0,2
1605,Bommasandra,1365.0,3.0,52.81,3
1606,Bommasandra,842.0,2.0,30.0,2
1607,Bommasandra,1260.0,3.0,49.36,3
1608,Bommasandra,1365.0,3.0,52.82,3
1609,Bommasandra,955.0,2.0,37.97,2
1610,Bommasandra,1089.0,2.0,40.0,2
1611,Bommasandra,950.0,2.0,25.0,2
1612,Bommasandra,1365.0,3.0,53.96,3
1613,Bommasandra Industrial Area,1280.0,3.0,50.4,3
1614,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1615,Bommasandra Industrial Area,1030.0,2.0,41.0,2
1617,Bommasandra Industrial Area,1020.0,2.0,39.0,2
1621,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1622,Bommasandra Industrial Area,1165.0,2.0,33.64,2
1623,Bommasandra Industrial Area,1250.0,3.0,50.0,3
1624,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1626,Bommasandra Industrial Area,1200.0,3.0,45.0,2
1627,Bommasandra Industrial Area,1005.0,2.0,39.77,2
1628,Bommasandra Industrial Area,1000.0,2.0,28.88,2
1629,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1630,Bommasandra Industrial Area,1160.0,2.0,33.51,2
1631,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1634,Bommasandra Industrial Area,1365.0,3.0,52.81,3
1635,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1636,Bommasandra Industrial Area,1130.0,2.0,32.64,2
1637,Bommasandra Industrial Area,1065.0,2.0,30.75,2
1638,Bommasandra Industrial Area,7000.0,2.0,135.0,2
1639,Bommenahalli,1200.0,3.0,125.0,3
1640,Bommenahalli,1632.0,3.0,145.0,4
1641,Bommenahalli,1670.0,3.0,135.0,4
1642,Bommenahalli,1680.0,3.0,135.0,4
1643,Bommenahalli,1632.0,3.0,128.0,4
1644,Bommenahalli,3339.0,3.0,250.0,3
1645,Bommenahalli,1355.0,3.0,135.0,4
1646,Bommenahalli,1232.0,3.0,96.0,3
1647,Bommenahalli,1632.0,3.0,140.0,4
1648,Brookefield,1150.0,2.0,69.0,2
1649,Brookefield,1200.0,3.0,140.0,3
1650,Brookefield,1142.0,2.0,70.0,2
1654,Brookefield,2800.0,4.0,240.0,4
1655,Brookefield,1476.0,3.0,105.0,3
1656,Brookefield,1700.0,4.0,152.0,4
1657,Brookefield,1262.0,2.0,75.0,2
1658,Brookefield,1139.0,2.0,80.0,2
1659,Brookefield,1125.0,2.0,70.0,2
1660,Brookefield,1420.0,3.0,85.0,3
1661,Brookefield,2400.0,5.0,325.0,5
1663,Brookefield,941.0,2.0,48.0,2
1666,Brookefield,1100.0,2.0,55.0,2
1668,Brookefield,1225.0,2.0,66.5,2
1669,Brookefield,2700.0,8.0,290.0,8
1670,Brookefield,1950.0,6.0,175.0,5
1671,Brookefield,1080.0,2.0,50.0,2
1672,Brookefield,1230.0,2.0,55.0,2
1673,Brookefield,1200.0,2.0,75.0,2
1674,Brookefield,1089.0,2.0,49.0,2
1675,Brookefield,1130.0,2.0,56.0,2
1676,Brookefield,1270.0,2.0,95.0,2
1677,Brookefield,1706.0,3.0,115.0,3
1678,Brookefield,1389.0,2.0,94.0,2
1680,Brookefield,1500.0,5.0,160.0,4
1681,Brookefield,1225.0,2.0,72.0,2
1683,Brookefield,1746.0,3.0,115.0,3
1685,Brookefield,1560.0,3.0,149.0,4
1687,Brookefield,1382.0,2.0,84.5,2
1688,Brookefield,1260.0,2.0,70.0,2
1689,Brookefield,1206.0,2.0,90.0,2
1691,Brookefield,1594.0,3.0,140.0,3
1692,Brookefield,1588.0,2.0,58.0,2
1694,Budigere,1162.0,2.0,59.9,2
1698,Budigere,764.0,1.0,32.0,1
1699,Budigere,1139.0,2.0,62.0,2
1704,Budigere,664.0,1.0,35.0,1
1708,Budigere,722.0,1.0,46.0,1
1710,Budigere,1139.0,2.0,60.0,2
1716,Budigere,1636.0,3.0,92.0,3
1719,Budigere,1149.0,2.0,65.0,2
1720,Budigere,693.0,1.0,27.375,1
1721,Budigere,664.0,1.0,35.4,1
1724,Budigere,1139.0,2.0,72.0,2
1727,Budigere,664.0,1.0,34.0,1
1730,Budigere,1153.0,2.0,60.0,2
1731,Budigere,1820.0,3.0,99.0,3
1739,Budigere,705.0,1.0,34.545,1
1741,Budigere,1153.0,2.0,58.0,2
1745,Budigere,1153.0,2.0,60.0,2
1747,CV Raman Nagar,1120.0,2.0,55.0,2
1748,CV Raman Nagar,1070.0,2.0,55.0,2
1749,CV Raman Nagar,740.0,2.0,37.0,2
1750,CV Raman Nagar,1230.0,3.0,47.0,2
1751,CV Raman Nagar,1726.0,3.0,145.0,3
1752,CV Raman Nagar,1028.0,2.0,49.0,2
1753,CV Raman Nagar,1392.0,2.0,98.0,2
1754,CV Raman Nagar,1070.0,2.0,47.5,2
1755,CV Raman Nagar,1825.0,3.0,126.0,3
1756,CV Raman Nagar,1025.0,2.0,50.0,2
1758,CV Raman Nagar,1198.0,2.0,60.0,2
1759,CV Raman Nagar,1560.0,2.0,85.0,2
1760,CV Raman Nagar,1590.0,2.0,85.0,3
1761,CV Raman Nagar,1100.0,2.0,58.0,2
1762,CV Raman Nagar,1051.0,2.0,61.0,2
1763,CV Raman Nagar,705.0,1.0,57.0,1
1764,CV Raman Nagar,1225.0,2.0,47.88,2
1765,CV Raman Nagar,1000.0,2.0,38.5,2
1767,CV Raman Nagar,1020.0,2.0,55.0,2
1768,CV Raman Nagar,1285.0,2.0,65.0,2
1769,CV Raman Nagar,1030.0,2.0,35.0,2
1770,CV Raman Nagar,1835.0,3.0,160.0,3
1771,CV Raman Nagar,1836.0,3.0,148.0,3
1772,CV Raman Nagar,1040.0,2.0,50.0,2
1773,CV Raman Nagar,1392.0,2.0,95.0,2
1774,CV Raman Nagar,705.0,2.0,50.0,1
1775,CV Raman Nagar,1125.0,2.0,46.0,2
1776,CV Raman Nagar,1400.0,2.0,78.0,3
1777,CV Raman Nagar,1980.0,4.0,180.0,3
1778,CV Raman Nagar,1980.0,4.0,166.0,3
1779,CV Raman Nagar,1400.0,2.0,78.0,3
1780,CV Raman Nagar,907.0,2.0,38.0,2
1781,CV Raman Nagar,1392.0,2.0,110.0,2
1783,CV Raman Nagar,1227.0,2.0,42.88,2
1784,CV Raman Nagar,1225.0,2.0,48.0,2
1785,CV Raman Nagar,1659.0,3.0,135.0,3
1786,CV Raman Nagar,1310.0,2.0,62.0,2
1787,Chamrajpet,1475.0,2.0,120.0,3
1788,Chamrajpet,1900.0,2.0,170.0,4
1789,Chamrajpet,1350.0,2.0,180.0,2
1790,Chamrajpet,1050.0,2.0,162.0,2
1791,Chamrajpet,1660.4,4.0,211.0,4
1792,Chamrajpet,505.0,1.0,85.0,1
1793,Chamrajpet,1565.0,3.0,98.91,3
1794,Chamrajpet,730.0,1.0,52.0,2
1795,Chamrajpet,650.0,1.0,40.0,2
1796,Chamrajpet,650.0,2.0,45.0,2
1797,Chamrajpet,1650.0,3.0,115.0,3
1798,Chandapura,650.0,1.0,17.0,2
1799,Chandapura,645.0,1.0,16.45,1
1800,Chandapura,645.0,1.0,16.45,1
1803,Chandapura,530.0,1.0,11.66,1
1804,Chandapura,1208.0,3.0,45.0,3
1806,Chandapura,1200.0,2.0,32.0,2
1807,Chandapura,1025.0,2.0,27.68,2
1808,Chandapura,582.5,1.0,15.135,1
1811,Chandapura,1400.0,2.0,60.0,2
1815,Chandapura,1500.0,2.0,60.0,2
1816,Chandapura,850.0,2.0,25.4,2
1817,Chandapura,590.0,1.0,13.57,1
1818,Chandapura,645.0,1.0,16.45,1
1819,Chandapura,630.0,1.0,13.86,1
1821,Chandapura,630.0,1.0,27.0,2
1822,Chandapura,877.0,2.0,42.0,2
1824,Chandapura,1107.0,2.0,43.0,3
1825,Chandapura,1200.0,2.0,60.0,2
1826,Chandapura,520.0,1.0,14.04,1
1827,Chandapura,1200.0,1.0,36.0,2
1829,Chandapura,620.0,1.0,27.0,1
1830,Chandapura,645.0,1.0,16.45,1
1832,Chandapura,645.0,1.0,16.45,1
1834,Chandapura,700.0,1.0,19.0,2
1838,Chandapura,4800.0,4.0,250.0,4
1839,Chandapura,1208.51,3.0,42.0,3
1840,Chandapura,876.0,2.0,29.5,2
1841,Chandapura,645.0,1.0,16.45,1
1844,Chandapura,645.0,1.0,16.45,1
1845,Chandapura,937.0,2.0,30.0,2
1846,Chandapura,1025.0,2.0,27.68,2
1848,Chandapura,800.0,2.0,25.0,2
1849,Chandapura,1200.0,2.0,65.0,2
1850,Chandapura,645.0,1.0,16.45,1
1851,Chandapura,778.0,2.0,25.29,2
1853,Chandapura,950.0,2.0,25.65,2
1854,Chandapura,1200.0,2.0,36.0,2
1855,Chandapura,645.0,1.0,16.45,1
1856,Chandapura,922.0,2.0,36.0,2
1858,Chandapura,674.0,1.0,19.9,2
1860,Chandapura,1080.0,2.0,45.0,2
1863,Chandapura,450.0,1.0,9.0,1
1867,Chandapura,1025.0,2.0,27.68,2
1872,Chandapura,971.0,2.0,38.0,3
1874,Chandapura,3300.0,4.0,135.0,4
1875,Chandapura,800.0,1.0,30.0,2
1877,Chandapura,900.0,2.0,35.0,2
1879,Chandapura,1200.0,2.0,52.0,3
1880,Chandapura,520.0,1.0,14.04,1
1884,Chandapura,410.0,1.0,10.0,1
1886,Chandapura,645.0,1.0,16.45,1
1887,Chandapura,645.0,1.0,16.45,1
1888,Chandapura,1200.0,2.0,36.0,2
1889,Chandapura,740.0,1.0,22.0,2
1890,Chandapura,876.0,2.0,28.47,2
1891,Chandapura,1200.0,3.0,65.0,3
1893,Chandapura,520.0,1.0,14.04,1
1894,Channasandra,1340.0,2.0,48.33,3
1895,Channasandra,1009.0,2.0,38.34,2
1896,Channasandra,1065.0,2.0,35.0,2
1897,Channasandra,1470.0,2.0,90.0,3
1898,Channasandra,1115.0,2.0,33.45,2
1899,Channasandra,1030.0,2.0,34.5,2
1900,Channasandra,4200.0,6.0,180.0,6
1901,Channasandra,1115.0,2.0,40.0,2
1902,Channasandra,3040.0,2.0,48.0,2
1903,Channasandra,1200.0,3.0,67.77,3
1904,Channasandra,1104.0,2.0,35.5,2
1905,Channasandra,1160.0,2.0,55.0,2
1906,Channasandra,1050.0,2.0,41.0,2
1907,Channasandra,1065.0,2.0,40.47,2
1909,Channasandra,1070.0,2.0,38.0,2
1910,Channasandra,1050.0,2.0,35.0,2
1911,Channasandra,1093.0,2.0,34.0,2
1912,Channasandra,808.0,2.0,40.0,2
1913,Channasandra,1010.0,2.0,36.0,2
1914,Channasandra,1123.0,2.0,36.0,2
1915,Channasandra,1000.0,2.0,35.0,2
1916,Channasandra,1500.0,4.0,89.45,4
1917,Channasandra,1330.0,2.0,51.83,3
1918,Channasandra,1093.0,2.0,37.0,2
1919,Channasandra,1115.0,2.0,35.8,2
1920,Channasandra,4278.0,7.0,299.0,7
1921,Channasandra,1500.0,3.0,61.95,3
1923,Channasandra,830.0,2.0,36.28,2
1924,Channasandra,1200.0,3.0,67.77,3
1925,Channasandra,1195.0,2.0,56.0,3
1926,Channasandra,1175.0,2.0,38.0,2
1927,Channasandra,1200.0,2.0,46.13,2
1928,Channasandra,1065.0,2.0,36.0,2
1929,Channasandra,1050.0,2.0,44.41,2
1930,Channasandra,1010.0,2.0,32.0,2
1932,Chikka Tirupathi,2325.0,4.0,120.0,4
1934,Chikka Tirupathi,1808.0,4.0,80.27,3
1935,Chikka Tirupathi,3297.0,3.0,135.0,3
1937,Chikka Tirupathi,1616.0,3.0,95.0,3
1939,Chikka Tirupathi,2646.0,3.0,99.0,3
1942,Chikka Tirupathi,1555.0,3.0,100.0,3
1943,Chikka Tirupathi,2325.0,3.0,95.0,3
1944,Chikka Tirupathi,2325.0,4.0,120.0,4
1946,Chikka Tirupathi,2153.0,4.0,120.0,3
1948,Chikkabanavar,950.0,2.0,40.0,2
1949,Chikkabanavar,1200.0,1.0,20.0,1
1950,Chikkabanavar,1600.0,2.0,80.0,3
1951,Chikkabanavar,600.0,1.0,25.0,2
1952,Chikkabanavar,2460.0,7.0,80.0,4
1953,Chikkabanavar,1500.0,4.0,105.0,4
1954,Chikkabanavar,2400.0,4.0,97.0,5
1955,Chikkabanavar,2000.0,4.0,65.0,5
1956,Chikkabanavar,1067.0,2.0,38.0,2
1957,Chikkabanavar,1320.0,2.0,46.0,3
1958,Chikkabanavar,4000.0,7.0,110.0,8
1960,Chikkalasandra,1100.0,2.0,50.0,2
1961,Chikkalasandra,1208.0,2.0,49.0,2
1962,Chikkalasandra,875.0,2.0,52.8,2
1964,Chikkalasandra,1800.0,1.0,128.0,2
1965,Chikkalasandra,1070.0,2.0,50.0,2
1966,Chikkalasandra,1230.0,2.0,48.0,2
1967,Chikkalasandra,1428.0,2.0,80.0,3
1968,Chikkalasandra,1070.0,2.0,42.8,2
1972,Chikkalasandra,1075.0,2.0,46.76,2
1975,Chikkalasandra,1070.0,2.0,45.48,2
1976,Chikkalasandra,1100.0,2.0,50.0,2
1979,Chikkalasandra,1224.0,2.0,45.0,2
1980,Chikkalasandra,1090.0,2.0,47.42,2
1983,Chikkalasandra,1325.0,2.0,59.0,2
1984,Chikkalasandra,1290.0,2.0,72.0,2
1987,Choodasandra,1115.0,2.0,50.0,2
1988,Choodasandra,1300.0,2.0,57.0,2
1989,Choodasandra,1530.0,3.0,77.0,3
1992,Choodasandra,1197.0,2.0,63.0,2
1993,Choodasandra,1465.0,3.0,75.0,3
1994,Choodasandra,1115.0,2.0,50.0,2
1995,Choodasandra,1215.0,2.0,59.0,2
1996,Choodasandra,1254.0,2.0,65.0,3
1997,Choodasandra,1580.0,3.0,105.0,3
1998,Choodasandra,3200.0,4.0,375.0,4
1999,Choodasandra,725.0,2.0,36.0,2
2000,Choodasandra,2429.0,3.0,210.0,4
2002,Choodasandra,1075.0,2.0,45.0,2
2003,Choodasandra,1180.0,2.0,71.22,2
2004,Choodasandra,1140.0,2.0,62.0,2
2006,Choodasandra,1560.0,3.0,78.0,3
2007,Choodasandra,1065.0,2.0,46.0,2
2008,Choodasandra,1115.0,2.0,50.0,2
2010,Choodasandra,1115.0,2.0,50.0,2
2011,Cooke Town,565.0,1.0,35.0,1
2012,Cooke Town,2572.0,3.0,390.0,3
2013,Cooke Town,2043.0,6.0,375.0,5
2014,Cooke Town,3950.0,4.0,450.0,4
2015,Cooke Town,2388.0,4.0,239.0,3
2016,Cooke Town,1500.0,3.0,95.0,3
2017,Cooke Town,1710.0,2.0,200.0,2
2018,Cooke Town,1310.0,2.0,111.0,2
2020,Cooke Town,2560.0,4.0,310.0,3
2021,Cooke Town,2600.0,3.0,375.0,3
2022,Cooke Town,1700.0,3.0,120.0,3
2023,Cooke Town,1100.0,2.0,90.0,2
2024,Cooke Town,2300.0,3.0,250.0,3
2025,Cooke Town,1850.0,3.0,110.0,3
2026,Cooke Town,1600.0,3.0,260.0,3
2028,Cox Town,605.0,1.0,29.0,1
2031,Cox Town,1600.0,3.0,150.0,3
2032,Cox Town,1250.0,2.0,95.0,2
2033,Cox Town,1100.0,2.0,166.0,2
2034,Cox Town,1280.0,2.0,120.0,2
2035,Cox Town,1073.0,2.0,72.0,2
2036,Cox Town,1000.0,2.0,58.0,2
2037,Cox Town,1200.0,2.0,140.0,2
2038,Cunningham Road,5270.0,4.0,1250.0,4
2039,Cunningham Road,3875.0,3.0,864.0,3
2040,Cunningham Road,3875.0,3.0,800.0,3
2041,Cunningham Road,3815.0,3.0,763.0,3
2042,Cunningham Road,2880.0,3.0,501.0,3
2043,Cunningham Road,2275.0,3.0,285.0,3
2044,Cunningham Road,3489.0,3.0,662.0,3
2045,Cunningham Road,4170.0,3.0,800.0,3
2046,Cunningham Road,5108.0,5.0,995.0,4
2047,Cunningham Road,2925.0,5.0,936.0,5
2048,Cunningham Road,2700.0,3.0,501.0,3
2049,Cunningham Road,7500.0,6.0,1800.0,4
2050,Cunningham Road,2880.0,3.0,560.0,3
2051,Dasanapura,708.0,2.0,37.0,2
2052,Dasanapura,708.0,1.0,40.0,2
2053,Dasanapura,965.0,2.0,42.5,2
2055,Dasanapura,1500.0,3.0,65.0,2
2056,Dasanapura,708.0,1.0,28.32,1
2057,Dasanapura,814.0,2.0,42.0,2
2058,Dasanapura,1163.0,2.0,65.0,2
2059,Dasanapura,2400.0,5.0,100.0,4
2060,Dasanapura,1286.0,2.0,68.0,3
2061,Dasanapura,708.0,2.0,31.15,2
2062,Dasanapura,814.0,2.0,53.0,2
2063,Dasanapura,966.0,2.0,58.0,2
2064,Dasanapura,708.0,1.0,41.0,1
2065,Dasanapura,814.0,2.0,43.7,2
2066,Dasarahalli,1295.0,2.0,65.0,2
2067,Dasarahalli,1520.0,2.0,75.0,3
2068,Dasarahalli,1300.0,2.0,55.0,2
2069,Dasarahalli,1901.0,3.0,119.0,3
2070,Dasarahalli,1150.0,2.0,70.0,2
2071,Dasarahalli,2400.0,3.0,150.0,7
2072,Dasarahalli,2100.0,3.0,120.0,3
2073,Dasarahalli,1300.0,2.0,50.0,2
2074,Dasarahalli,2400.0,2.0,152.0,3
2075,Dasarahalli,1220.0,2.0,52.0,2
2076,Dasarahalli,1375.0,2.0,60.0,2
2077,Dasarahalli,1950.0,3.0,125.0,3
2078,Dasarahalli,1333.0,2.0,86.65,2
2079,Dasarahalli,1333.0,2.0,78.56,2
2080,Dasarahalli,1220.0,2.0,62.0,2
2081,Dasarahalli,1200.0,2.0,42.0,2
2082,Dasarahalli,1160.0,2.0,49.0,2
2083,Devanahalli,3210.0,2.0,192.0,4
2084,Devanahalli,1260.0,2.0,66.78,2
2085,Devanahalli,1282.0,2.0,68.52,3
2088,Devanahalli,6136.0,4.0,560.0,4
2089,Devanahalli,1408.0,2.0,85.0,2
2090,Devanahalli,1010.0,2.0,51.0,2
2092,Devanahalli,5000.0,5.0,395.0,4
2097,Devanahalli,1174.0,2.0,59.0,2
2098,Devanahalli,1600.0,3.0,180.0,3
2100,Devanahalli,2400.0,5.0,190.0,4
2101,Devanahalli,1200.0,1.0,95.0,1
2102,Devanahalli,5000.0,4.0,465.0,4
2103,Devanahalli,658.0,1.0,34.0,1
2104,Devanahalli,658.0,1.0,26.91,1
2105,Devanahalli,698.5,1.0,28.57,1
2107,Devanahalli,6136.0,4.0,550.0,4
2108,Devanahalli,1700.0,3.0,88.2,3
2109,Devanahalli,1498.0,3.0,79.15,3
2110,Devanahalli,4920.0,4.0,393.5,4
2111,Devanahalli,1466.0,3.0,77.59,3
2112,Devanahalli,775.0,1.0,39.0,1
2113,Devanahalli,1020.0,2.0,49.87,1
2115,Devanahalli,1550.0,3.0,85.0,3
2118,Devanahalli,2125.0,3.0,107.0,3
2121,Devanahalli,658.0,1.0,26.91,1
2122,Devanahalli,1290.0,2.0,62.0,3
2123,Devanahalli,1010.0,2.0,58.0,2
2126,Devanahalli,1075.0,2.0,52.57,1
2128,Devarachikkanahalli,1250.0,2.0,40.0,2
2129,Devarachikkanahalli,1200.0,2.0,83.0,2
2130,Devarachikkanahalli,1170.0,2.0,40.0,2
2131,Devarachikkanahalli,615.0,1.0,24.0,1
2132,Devarachikkanahalli,1230.0,2.0,58.0,2
2133,Devarachikkanahalli,1425.0,2.0,65.0,3
2134,Devarachikkanahalli,947.0,2.0,43.0,2
2135,Devarachikkanahalli,1130.0,2.0,36.0,2
2136,Devarachikkanahalli,1417.0,2.0,76.0,3
2137,Devarachikkanahalli,1230.0,2.0,58.0,2
2138,Devarachikkanahalli,1705.0,3.0,75.0,3
2139,Devarachikkanahalli,1116.0,2.0,47.0,2
2140,Devarachikkanahalli,991.0,2.0,40.0,2
2142,Dodda Nekkundi,1260.0,2.0,55.0,2
2143,Dodda Nekkundi,850.0,2.0,28.0,2
2144,Dodda Nekkundi,1390.0,2.0,60.0,2
2145,Dodda Nekkundi,1804.0,3.0,121.0,3
2146,Dodda Nekkundi,1080.0,2.0,50.0,2
2147,Dodda Nekkundi,1999.0,3.0,132.0,3
2148,Dodda Nekkundi,1100.0,2.0,48.0,2
2149,Dodda Nekkundi,1999.0,3.0,135.0,3
2150,Dodda Nekkundi,1100.0,2.0,41.15,2
2151,Dodda Nekkundi,1252.0,2.0,71.0,3
2152,Dodda Nekkundi,1155.0,2.0,46.0,2
2153,Dodda Nekkundi,1128.0,2.0,45.0,2
2154,Dodda Nekkundi,1148.0,2.0,56.0,2
2156,Dodda Nekkundi,1145.0,2.0,46.5,2
2157,Dodda Nekkundi,1829.0,3.0,125.0,3
2158,Dodda Nekkundi,1100.0,2.0,41.16,2
2159,Dodda Nekkundi,1100.0,2.0,46.75,2
2160,Dodda Nekkundi,1315.0,2.0,50.0,2
2161,Dodda Nekkundi,1135.0,2.0,58.0,2
2162,Dodda Nekkundi,1100.0,2.0,41.18,2
2163,Dodda Nekkundi,1370.0,2.0,60.0,2
2164,Dodda Nekkundi,1200.0,2.0,71.0,2
2165,Dodda Nekkundi,1585.0,2.0,79.0,3
2166,Dodda Nekkundi,1005.0,2.0,45.0,2
2167,Dodda Nekkundi,1264.0,2.0,52.0,2
2168,Doddaballapur,1690.0,3.0,80.0,4
2169,Doddaballapur,3000.0,2.0,120.0,3
2170,Doddaballapur,4200.0,4.0,325.0,4
2171,Doddaballapur,3876.0,3.0,300.0,3
2172,Doddaballapur,2776.0,4.0,195.0,3
2173,Doddaballapur,640.0,1.0,10.5,2
2174,Doddaballapur,2400.0,3.0,250.0,3
2175,Doddaballapur,2440.0,3.0,142.0,3
2176,Doddaballapur,2400.0,3.0,200.0,4
2177,Doddaballapur,654.0,1.0,49.0,1
2178,Doddaballapur,3206.0,5.0,270.0,4
2179,Doddakallasandra,1233.0,2.0,43.0,2
2180,Doddakallasandra,1010.0,2.0,40.39,2
2181,Doddakallasandra,1360.0,2.0,54.39,3
2182,Doddakallasandra,1460.0,2.0,58.39,3
2183,Doddakallasandra,2493.0,3.0,115.0,3
2184,Doddakallasandra,2493.0,3.0,115.0,3
2185,Doddakallasandra,1360.0,2.0,54.4,3
2186,Doddakallasandra,1425.0,2.0,56.99,3
2187,Doddakallasandra,1010.0,2.0,40.39,2
2188,Doddakallasandra,1072.0,2.0,42.87,2
2189,Doddakallasandra,1010.0,2.0,40.4,2
2190,Doddakallasandra,1010.0,2.0,41.0,2
2191,Doddakallasandra,1270.0,2.0,42.0,2
2192,Doddakallasandra,1072.0,2.0,42.87,2
2193,Doddathoguru,970.0,2.0,33.0,2
2194,Doddathoguru,1100.0,2.0,62.0,2
2195,Doddathoguru,1050.0,2.0,32.0,2
2196,Doddathoguru,850.0,2.0,25.0,2
2197,Doddathoguru,1200.0,2.0,75.0,2
2198,Doddathoguru,1030.0,2.0,42.0,2
2199,Doddathoguru,1549.0,3.0,65.0,3
2201,Doddathoguru,984.0,2.0,51.0,2
2202,Doddathoguru,550.0,1.0,17.0,1
2203,Doddathoguru,1015.0,2.0,33.5,2
2204,Doddathoguru,1104.0,2.0,39.0,2
2205,Doddathoguru,915.0,2.0,32.0,2
2206,Doddathoguru,1140.0,2.0,32.0,2
2207,Doddathoguru,750.0,1.0,25.5,1
2209,Doddathoguru,855.0,2.0,32.0,2
2210,Doddathoguru,1105.0,2.0,50.0,2
2211,Doddathoguru,925.0,2.0,30.0,2
2213,Doddathoguru,1140.0,2.0,26.49,2
2215,Doddathoguru,1100.0,2.0,50.0,2
2216,Doddathoguru,940.0,2.0,32.9,2
2217,Doddathoguru,1382.0,3.0,65.0,3
2218,Doddathoguru,964.0,2.0,62.0,2
2219,Doddathoguru,1107.0,2.0,44.0,2
2220,Doddathoguru,907.0,2.0,40.0,2
2221,Doddathoguru,1783.0,3.0,85.0,3
2222,Doddathoguru,550.0,1.0,17.0,1
2223,Domlur,1540.0,3.0,90.0,3
2224,Domlur,1875.0,2.0,150.0,3
2225,Domlur,1429.0,3.0,86.0,3
2226,Domlur,1206.0,2.0,217.0,2
2227,Domlur,640.0,1.0,55.0,1
2228,Domlur,1050.0,2.0,85.0,2
2229,Domlur,1800.0,3.0,150.0,3
2230,Domlur,1720.0,3.0,135.0,3
2231,Domlur,1950.0,3.0,165.0,3
2232,Domlur,2180.0,3.0,285.0,3
2233,Domlur,650.0,1.0,70.0,1
2234,Domlur,780.0,1.0,70.0,1
2235,Domlur,2180.0,3.0,285.0,3
2236,Domlur,1740.0,3.0,120.0,3
2237,Domlur,1695.0,3.0,125.0,3
2238,Domlur,1246.0,2.0,95.0,2
2239,Domlur,2100.0,3.0,145.0,3
2240,Domlur,1276.0,2.0,80.0,2
2241,Domlur,1850.0,3.0,180.0,3
2242,Domlur,2955.0,3.0,235.0,3
2243,Domlur,1650.0,3.0,180.0,3
2244,Dommasandra,805.0,2.0,22.14,2
2246,Dommasandra,1267.0,3.0,56.0,3
2247,Dommasandra,1200.0,2.0,50.0,2
2248,Dommasandra,2700.0,3.0,68.0,4
2250,Dommasandra,1153.0,2.0,43.5,2
2251,Dommasandra,1500.0,2.0,40.0,2
2252,Dommasandra,1090.0,2.0,43.5,2
2253,Dommasandra,850.0,2.0,25.4,2
2254,Dommasandra,674.0,1.0,19.9,2
2255,Dommasandra,999.0,2.0,32.9,2
2256,EPIP Zone,1499.0,5.0,102.0,3
2257,EPIP Zone,1285.0,2.0,82.0,2
2258,EPIP Zone,2330.0,3.0,162.0,3
2259,EPIP Zone,1330.0,2.0,92.5,2
2260,EPIP Zone,1330.0,2.0,86.98,2
2261,EPIP Zone,1330.0,2.0,93.36,2
2262,EPIP Zone,2160.0,4.0,172.0,3
2264,EPIP Zone,1500.0,3.0,102.0,3
2265,EPIP Zone,1280.0,2.0,69.0,2
2266,EPIP Zone,1125.0,2.0,65.0,2
2267,EPIP Zone,1734.0,3.0,125.0,3
2269,EPIP Zone,1343.0,2.0,86.0,2
2271,EPIP Zone,2500.0,3.0,268.0,3
2272,EPIP Zone,2350.0,4.0,163.0,3
2273,EPIP Zone,1860.0,3.0,130.0,3
2274,EPIP Zone,2210.0,3.0,165.0,3
2276,EPIP Zone,1810.0,2.0,65.0,2
2277,EPIP Zone,2710.0,3.0,177.0,3
2285,Electronic City,1060.0,2.0,60.0,2
2286,Electronic City,1152.0,2.0,64.5,2
2289,Electronic City,1070.0,2.0,52.0,2
2291,Electronic City,589.0,1.0,27.0,1
2293,Electronic City,1200.0,3.0,90.0,3
2295,Electronic City,1108.0,2.0,63.0,2
